,geocentricTime,RA,DEC
2997,2436279.5,285.97097,-23.53555
2998,2436280.5,285.98347,-23.53519
2999,2436281.5,285.99554,-23.53487
3000,2436282.5,286.00718,-23.5346
3001,2436283.5,286.01838,-23.53438
3002,2436284.5,286.02915,-23.5342
3003,2436285.5,286.03949,-23.53407
3004,2436286.5,286.04938,-23.53398
3005,2436287.5,286.05884,-23.53394
3006,2436288.5,286.06785,-23.53395
3007,2436289.5,286.07642,-23.534
3008,2436290.5,286.08454,-23.5341
3009,2436291.5,286.09221,-23.53424
3010,2436292.5,286.09944,-23.53443
3011,2436293.5,286.10623,-23.53467
3012,2436294.5,286.11256,-23.53496
3013,2436295.5,286.11845,-23.53529
3014,2436296.5,286.12389,-23.53566
3015,2436297.5,286.12888,-23.53609
3016,2436298.5,286.13342,-23.53656
3017,2436299.5,286.13751,-23.53707
3018,2436300.5,286.14116,-23.53763
3019,2436301.5,286.14435,-23.53824
3020,2436302.5,286.1471,-23.5389
3021,2436303.5,286.14939,-23.5396
3022,2436304.5,286.15123,-23.54035
3023,2436305.5,286.15262,-23.54114
3024,2436306.5,286.15356,-23.54199
3025,2436307.5,286.15405,-23.54287
3026,2436308.5,286.15409,-23.54381
3027,2436309.5,286.15368,-23.54478
3028,2436310.5,286.15282,-23.54581
